Week	Slot	Lane 1	Lane 2	Lane 3	Lane 4
1	Early 1	8 v 13	16 v 10	1 v 6	4 v 3
1	Early 2	8 v 10	16 v 13	1 v 3	4 v 6
1	Late 1	11 v 5	2 v 12	14 v 7	15 v 9
1	Late 2	11 v 12	2 v 5	14 v 9	15 v 7
2	Early 1	16 v 14	15 v 7	4 v 5	1 v 11
2	Early 2	16 v 7	15 v 14	4 v 11	1 v 5
2	Late 1	3 v 6	12 v 9	10 v 2	8 v 13
2	Late 2	3 v 9	12 v 6	10 v 13	8 v 2
3	Early 1	6 v 2	11 v 12	10 v 9	13 v 5
3	Early 2	6 v 12	11 v 2	10 v 5	13 v 9
3	Late 1	8 v 16	7 v 14	15 v 3	1 v 4
3	Late 2	8 v 14	7 v 16	15 v 4	1 v 3
4	Early 1	3 v 10	4 v 14	6 v 7	12 v 8
4	Early 2	3 v 14	4 v 10	6 v 8	12 v 7
4	Late 1	15 v 1	11 v 13	2 v 16	5 v 9
4	Late 2	15 v 13	11 v 1	2 v 9	5 v 16
5	Early 1	9 v 16	1 v 7	5 v 15	8 v 11
5	Early 2	9 v 7	1 v 16	5 v 11	8 v 15
5	Late 1	13 v 4	3 v 2	6 v 10	12 v 14
5	Late 2	13 v 2	3 v 4	6 v 14	12 v 10
6	Early 1	11 v 15	6 v 10	16 v 2	14 v 13
6	Early 2	11 v 10	6 v 15	16 v 13	14 v 2
6	Late 1	12 v 7	8 v 1	3 v 5	4 v 9
6	Late 2	12 v 1	8 v 7	3 v 9	4 v 5
7	Early 1	5 v 3	13 v 12	8 v 4	7 v 9
7	Early 2	5 v 12	13 v 3	8 v 9	7 v 4
7	Late 1	2 v 15	10 v 1	11 v 6	14 v 16
7	Late 2	2 v 1	10 v 15	11 v 16	14 v 6
8	Early 1	1 v 4	2 v 8	12 v 16	3 v 15
8	Early 2	1 v 8	2 v 4	12 v 15	3 v 16
8	Late 1	14 v 10	9 v 11	7 v 13	6 v 5
8	Late 2	14 v 11	9 v 10	7 v 5	6 v 13
9	Early 1	13 v 1	9 v 14	7 v 10	2 v 11
9	Early 2	13 v 14	9 v 1	7 v 11	2 v 10
9	Late 1	16 v 6	15 v 5	4 v 12	3 v 8
9	Late 2	16 v 5	15 v 6	4 v 8	3 v 12
10	Early 1	4 v 11	3 v 6	13 v 9	16 v 15
10	Early 2	4 v 6	3 v 11	13 v 15	16 v 9
10	Late 1	10 v 5	14 v 8	12 v 1	7 v 2
10	Late 2	10 v 8	14 v 5	12 v 2	7 v 1
11	Early 1	2 v 7	8 v 5	3 v 12	10 v 14
11	Early 2	2 v 5	8 v 7	3 v 14	10 v 12
11	Late 1	9 v 6	16 v 4	1 v 15	11 v 13
11	Late 2	9 v 4	16 v 6	1 v 13	11 v 15
12	Early 1	15 v 9	5 v 12	14 v 2	6 v 1
12	Early 2	15 v 12	5 v 9	14 v 1	6 v 2
12	Late 1	7 v 4	13 v 3	8 v 16	10 v 11
12	Late 2	7 v 3	13 v 4	8 v 11	10 v 16
