Week	Slot	Lane 1	Lane 2	Lane 3	Lane 4
1	1	7 v 5	6 v 12	2 v 9	10 v 11
1	2	4 v 5	6 v 1	2 v 8	3 v 11
1	3	4 v 9	1 v 12	8 v 7	10 v 3
1	4	9 v 5	2 v 12	7 v 11	10 v 6
1	5	-	-	8 v 1	4 v 3
2	1	12 v 9	10 v 4	11 v 2	5 v 6
2	2	3 v 12	4 v 7	1 v 11	5 v 8
2	3	3 v 8	7 v 2	10 v 1	9 v 6
2	4	4 v 3	5 v 2	11 v 10	12 v 6
2	5	-	-	8 v 1	9 v 7
3	1	3 v 12	5 v 10	8 v 11	1 v 7
3	2	2 v 3	4 v 10	6 v 11	7 v 9
3	3	1 v 2	8 v 10	6 v 5	9 v 12
3	4	3 v 1	8 v 7	11 v 5	12 v 4
3	5	-	-	9 v 6	4 v 2
4	1	9 v 1	8 v 6	3 v 4	7 v 2
4	2	1 v 11	8 v 5	12 v 4	10 v 7
4	3	2 v 11	3 v 5	12 v 6	10 v 9
4	4	2 v 8	7 v 3	6 v 1	9 v 4
4	5	-	-	11 v 12	5 v 10
5	1	8 v 1	2 v 10	11 v 9	4 v 5
5	2	8 v 12	2 v 6	9 v 7	3 v 5
5	3	12 v 1	6 v 4	10 v 7	3 v 11
5	4	5 v 1	4 v 2	10 v 9	8 v 11
5	5	-	-	3 v 6	12 v 7
6	1	6 v 5	3 v 8	10 v 7	1 v 9
6	2	6 v 4	3 v 11	12 v 10	2 v 9
6	3	4 v 8	11 v 7	12 v 5	1 v 2
6	4	8 v 9	7 v 6	3 v 5	10 v 1
6	5	-	-	12 v 4	11 v 2
7	1	2 v 6	4 v 1	3 v 8	10 v 12
7	2	6 v 7	4 v 1	9 v 11	12 v 5
7	3	7 v 2	4 v 8	11 v 9	10 v 3
7	4	2 v 12	8 v 6	9 v 5	3 v 1
7	5	-	-	5 v 7	11 v 10
8	1	4 v 11	9 v 3	12 v 2	5 v 8
8	2	7 v 11	1 v 9	10 v 2	6 v 8
8	3	12 v 7	5 v 1	10 v 3	4 v 6
8	4	11 v 12	9 v 5	3 v 2	8 v 4
8	5	-	-	7 v 6	10 v 1
9	1	4 v 7	9 v 12	8 v 2	11 v 6
9	2	5 v 7	9 v 3	10 v 8	6 v 1
9	3	5 v 11	3 v 12	4 v 10	1 v 2
9	4	8 v 11	12 v 7	10 v 6	2 v 9
9	5	-	-	1 v 3	4 v 5
10	1	3 v 6	5 v 10	7 v 1	12 v 11
10	2	9 v 3	10 v 2	1 v 4	8 v 12
10	3	9 v 6	5 v 2	11 v 4	8 v 7
10	4	10 v 6	1 v 12	4 v 11	7 v 3
10	5	-	-	2 v 5	8 v 9
