Slot	Lane 1	Lane 2	Lane 3	Lane 4
1	10 v 12	7 v 5	8 v 9	2 v 11
2	7 v 10	12 v 5	11 v 9	2 v 8
3	4 v 7	3 v 5	9 v 1	2 v 6
4	4 v 10	12 v 3	1 v 8	11 v 6
5	-	-	3 v 1	6 v 4
