			30-Apr						7-May						14-May						21-May						28-May						4-Jun						11-Jun						18-Jun						25-Jun						2-Jul	
Lane 6	Pin Pals		Feeld and Stream			Lane 6	Blame It On The Lane		Butt			Lane 6	Gutter Sluts		WHO DO YOU THINK YOU ARE I AM			Lane 6	Butt		Glory Bowl			Lane 6	Glory Bowl		2 Legit 2 Split			Lane 6	Butt		Gutter Sluts			Lane 6	I Can't Believe Its Not Gutter		2 Legit 2 Split			Lane 6	Butt		I Can't Believe Its Not Gutter			Lane 6	The Bowled and the Beautiful		Glory Bowl			Lane 6	2 Legit 2 Split		Feeld and Stream	
Lane 7	Gutter Sluts		Bowls on Parade			Lane 7	WHO DO YOU THINK YOU ARE I AM		Feeld and Stream			Lane 7	I Can't Believe Its Not Gutter		Pin Pals			Lane 7	Bowlt Thrower		I Can't Believe Its Not Gutter			Lane 7	I Can't Believe Its Not Gutter		WHO DO YOU THINK YOU ARE I AM			Lane 7	WHO DO YOU THINK YOU ARE I AM		Feeld and Stream			Lane 7	Pin Pals		Gutter Sluts			Lane 7	Gutter Sluts		Pin Pals			Lane 7	Feeld and Stream		Butt			Lane 7	Butt		Bowlt Thrower	
Lane 8	Bowlt Thrower		I Can't Believe Its Not Gutter			Lane 8	I Can't Believe Its Not Gutter		Glory Bowl			Lane 8	Blame It On The Lane		Bowlt Thrower			Lane 8	2 Legit 2 Split		The Bowled and the Beautiful			Lane 8	Butt		Gutter Sluts			Lane 8	I Can't Believe Its Not Gutter		Bowlt Thrower			Lane 8	Glory Bowl		Butt			Lane 8	2 Legit 2 Split		The Bowled and the Beautiful			Lane 8	I Can't Believe Its Not Gutter		WHO DO YOU THINK YOU ARE I AM			Lane 8	Glory Bowl		Blame It On The Lane	
																																																										
9:15						9:15						9:15						9:15						9:15						9:15						9:15						9:15						9:15						9:15				
Lane 5	WHO DO YOU THINK YOU ARE I AM		I Can't Believe Its Not Gutter			Lane 5	Pin Pals		The Bowled and the Beautiful			Lane 5	Bowls on Parade		Pin Pals			Lane 5	Butt		Feeld and Stream			Lane 5	The Bowled and the Beautiful		Glory Bowl			Lane 5	Blame It On The Lane		Gutter Sluts			Lane 5	Bowlt Thrower		Bowls on Parade			Lane 5	Feeld and Stream		WHO DO YOU THINK YOU ARE I AM			Lane 5	2 Legit 2 Split		Feeld and Stream			Lane 5	I Can't Believe Its Not Gutter		The Bowled and the Beautiful	
Lane 6	2 Legit 2 Split		Feeld and Stream			Lane 6	WHO DO YOU THINK YOU ARE I AM		Butt			Lane 6	The Bowled and the Beautiful		Butt			Lane 6	Pin Pals		Glory Bowl			Lane 6	Pin Pals		Butt			Lane 6	WHO DO YOU THINK YOU ARE I AM		2 Legit 2 Split			Lane 6	Blame It On The Lane		2 Legit 2 Split			Lane 6	Bowls on Parade		I Can't Believe Its Not Gutter			Lane 6	The Bowled and the Beautiful		Blame It On The Lane			Lane 6	2 Legit 2 Split		Bowlt Thrower	
Lane 7	Pin Pals		Glory Bowl			Lane 7	Blame It On The Lane		Bowls on Parade			Lane 7	Blame It On The Lane		Feeld and Stream			Lane 7	2 Legit 2 Split		WHO DO YOU THINK YOU ARE I AM			Lane 7	Blame It On The Lane		2 Legit 2 Split			Lane 7	The Bowled and the Beautiful		Feeld and Stream			Lane 7	I Can't Believe Its Not Gutter		Butt			Lane 7	Butt		Blame It On The Lane			Lane 7	Pin Pals		I Can't Believe Its Not Gutter			Lane 7	Gutter Sluts		Glory Bowl	
Lane 8	Blame It On The Lane		Butt			Lane 8	Bowlt Thrower		Gutter Sluts			Lane 8	2 Legit 2 Split		Bowlt Thrower			Lane 8	I Can't Believe Its Not Gutter		Bowls on Parade			Lane 8	Bowls on Parade		I Can't Believe Its Not Gutter			Lane 8	Pin Pals		I Can't Believe Its Not Gutter			Lane 8	The Bowled and the Beautiful		WHO DO YOU THINK YOU ARE I AM			Lane 8	Glory Bowl		Bowlt Thrower			Lane 8	Bowlt Thrower		Gutter Sluts			Lane 8	Bowls on Parade		Pin Pals	
																																																										
10:00						10:00						10:00						10:00						10:00						10:00						10:00						10:00						10:00						10:00				
Lane 7	Pin Pals		2 Legit 2 Split			Lane 7	Blame It On The Lane		WHO DO YOU THINK YOU ARE I AM			Lane 7	Bowls on Parade		Bowlt Thrower			Lane 7	2 Legit 2 Split		Butt			Lane 7	Blame It On The Lane		The Bowled and the Beautiful			Lane 7	Butt		Feeld and Stream			Lane 7	Feeld and Stream		Bowlt Thrower			Lane 7	Butt		Bowls on Parade			Lane 7	Pin Pals		Bowlt Thrower			Lane 7	WHO DO YOU THINK YOU ARE I AM		Glory Bowl	
Lane 8	Feeld and Stream		Glory Bowl			Lane 8	Butt		Bowls on Parade			Lane 8	Blame It On The Lane		Pin Pals			Lane 8	Glory Bowl		I Can't Believe Its Not Gutter			Lane 8	Feeld and Stream		Bowls on Parade			Lane 8	The Bowled and the Beautiful		WHO DO YOU THINK YOU ARE I AM			Lane 8	Gutter Sluts		Glory Bowl			Lane 8	I Can't Believe Its Not Gutter		Blame It On The Lane			Lane 8	I Can't Believe Its Not Gutter		The Bowled and the Beautiful			Lane 8	Gutter Sluts		2 Legit 2 Split	
